id,name,location,price_range
1,Ringo Sicely,Par Pharmaceutical Inc.,1
2,Nickie Dinjes,Amerisource Bergen,4
3,Caryl Geroldo,Walgreen Company,5
4,Lynea Thickpenny,"Summit Industries, Inc.",3
5,Husain Chaters,Qualitest Pharmaceuticals,4
6,Georgianne Knapton,Jubilant HollisterStier LLC,3
7,Shanie Thorneloe,Advanced Generic Corporation,1
8,Earl Exrol,"Bio-Pharm, Inc.",1
9,Estella Deguara,Wakefern Food Corp,4
10,Konstanze Jerrold,Access Business Group LLC,2
11,Sheilakathryn Jobke,American Health Packaging,5
12,Emanuele Hehl,Ricola Ag,1
13,Tadeo Seakes,RITE AID CORPORATION,4
14,Rachael Canete,"Nelco Laboratories, Inc.",4
15,Hewe Twist,"GANZ U.S.A., LLC",5
16,Merv Woodroof,Wakefern Food Corporation,1
17,Kathy Ible,"BB17, LLC",4
18,Lester Rowter,GE Healthcare Inc.,1
19,Kelsey Bonavia,"Nelco Laboratories, Inc.",2
20,Tisha Fuzzard,"Prestium Pharma, Inc.",3
21,Rahal Hattoe,"Physicians Total Care, Inc.",5
22,Marney Klosa,REMEDYREPACK INC.,1
23,Logan Bail,"Physicians Total Care, Inc.",1
24,Nickie Ranald,"NCS HealthCare of KY, Inc dba Vangard Labs",3
25,Odelle Chsteney,"Taro Pharmaceuticals U.S.A., Inc.",2
26,Marena Ewells,"EQUATE (Walmart Stores, Inc.)",2
27,Lucita Sawdy,"H and P Industries, Inc. dba Triad Group",3
28,Gregg Wass,"Nelco Laboratories, Inc.",5
29,Tiler Mackett,"Golden State Medical Supply, Inc.",4
30,Maighdiln Lune,TEVA Pharmaceuticals USA Inc,1
31,Ursala Hiorn,Novartis Pharmaceuticals Corporation,3
32,Christabella Fearnehough,"Nelco Laboratories, Inc.",5
33,Mar Dossettor,TYA Pharmaceuticals,2
34,Vincent Blevin,"Preferred Pharmaceuticals, Inc",1
35,Karrie Hutcheson,New World Imports,5
36,Kermit Cescon,Keystone Laboratories,5
37,Benni Daughtery,HOMEOLAB USA INC.,3
38,Rivy Kennon,"Physicians Total Care, Inc.",2
39,Theresita Harkness,"PD-Rx Pharmaceuticals, Inc.",4
40,Lacee Dennington,Remedy Makers,5
41,Rhetta Trassler,"TONYMOLY CO., LTD.",5
42,Bartram Vasilchikov,LEO Pharma Inc.,2
43,Joel Khomishin,Cardinal Health,2
44,Trey Meller,Sandoz Inc,4
45,Abrahan Fanshaw,Walgreens,3
46,Kirstyn Kinnoch,Pfizer Laboratories Div Pfizer Inc,2
47,Shir Domingues,Apotheca Company,3
48,Gallard Pietron,ESTEE LAUDER N.V.,2
49,Phylys Frampton,"Insys Therapeutics, Inc.",2
50,Marcie Gilston,"Physicians Total Care, Inc.",3
51,Shandie Drinkale,"Physicians Total Care, Inc.",5
52,Naoma Moncey,CVS Pharmacy,4
53,Jenelle Anthoney,Kroger Company,2
54,Rhonda Bayfield,St Marys Medical Park Pharmacy,4
55,Kathryne Vogt,"Allermed Laboratories, Inc.",2
56,Baillie Kensitt,"Deseret Biologicals, Inc.",4
57,Helene Greswell,Genzyme Corporation,2
58,Mattie Wickson,Avema Pharma Solutions,3
59,Errick Pollen,Massco Dental A Division of Dunagin Pharmaceuticals,3
